DATE,TEAM_1,TEAM_2,WINNER,MARGIN,VENUE,CATEGORY_OF_WINNER
7-Sep-21,Nepal,PNG,Nepal,2 wickets,Al Amerat Cricket Ground ministry Turf 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Yes
7-Sep-21,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo,Yes
8-Sep-21,Ireland,Zimbabwe,Zimbabwe,38 runs,Civil Service Cricket Club,Yes
9-Sep-21,PNG,USA,USA,134 runs,Al Amerat Cricket Ground Ministry Turf 2,Yes
10-Sep-21,Ireland,Zimbabwe,NaN,NaN,Civil Service Cricket Club,No
10-Sep-21,Nepal,PNG,Nepal,151 runs,Al Amerat Cricket Ground Ministry Turf 1,Yes
13-Sep-21,Ireland,Zimbabwe,Ireland,7 wickets,Civil Service Cricket Club,Yes
13-Sep-21,Nepal,USA,Nepal,5 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
14-Sep-21,Oman ,Nepal,Oman,5 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
16-Sep-21,Oman ,USA,Oman,4 wickets,Rawalpindi,Yes
17-Sep-21,Pakistan,NewZeland,NaN,NaN,Al Amerat Cricket Ground Ministry Turf 1,No
17-Sep-21,Nepal,USA,USA,6 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
19-Sep-21,Oman ,Nepal,Nepal,7 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
20-Sep-21,Oman ,USA,Oman,72 runs,Al Amerat Cricket Ground Ministry Turf 1,Yes
25-Sep-21,PNG,Scotland,Scotland,6 wickets,Al Amerat Cricket Ground Ministry Turf 2,Yes
26-Sep-21,Oman ,PNG,Oman,110 runs,Al Amerat Cricket Ground Ministry Turf 2,Yes
28-Sep-21,Oman ,Scotland,Scotland,18 runs,Al Amerat Cricket Ground Ministry Turf 2,Yes
29-Sep-21,PNG,Scotland,Scotland,4 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
1-Oct-21,Oman ,PNG,Oman,3 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
2-Oct-21,Oman ,Scotland,NaN,NaN,Al Amerat Cricket Ground Ministry Turf 1,No
26-Nov-21,South Africa,Netherlands,NaN,NaN,SuperSport Park,No
26-Nov-21,Namibia,Oman,Namibia,40 runs,wanderer's Stadium,Yes
27-Nov-21,Namibia,Oman,Oman,9 runs,wanderer's Stadium,Yes
30-Nov-21,Namibia,UAE,NaN,NaN,wanderer's Stadium,No
2-Dec-21,Oman ,UAE,NaN,NaN,wanderer's Stadium,No
4-Dec-21,Namibia,Oman,NaN,NaN,wanderer's Stadium,No
5-Dec-21,Namibia,UAE,NaN,NaN,wanderer's Stadium,No
6-Dec-21,Oman ,UAE,NaN,NaN,wanderer's Stadium,No
8-Jan-22,West Indies,Ireland,West Indies,24 runs,Sabina Park,Yes
13-Jan-22,West Indies,Ireland,Ireland,5 wickets,Sabina Park,Yes
16-Jan-22,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,Yes
16-Jan-22,West Indies,Ireland,Ireland,2 wickets,Sabina Park,Yes
18-Jan-22,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,Yes
19-Jan-22,South Africa,India,South Africa,31 runs,Boland Park,Yes
21-Jan-22,Afganisthan,Netherlands,Afganisthan,36 runs,West End Park International Cricket Stadium,Yes
21-Jan-22,South Africa,India,South Africa,7 wickets,Boland Park,Yes
21-Jan-22,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,Yes
23-Jan-22,South Africa,India,South Africa,48 runs,Newlands,Yes
23-Jan-22,Afganisthan,Netherlands,Afganisthan,4 runs,West End Park International Cricket Stadium,Yes
25-Jan-22,Afganisthan,Netherlands,Afganisthan,75 runs,West End Park International Cricket Stadium,Yes
5-Feb-22,Oman ,UAE,UAE,4 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
6-Feb-22,India,West Indies,India,6 wickets,Ahmedabad,Yes
6-Feb-22,Oman ,UAE,UAE,4 wickets,Al Amerat Cricket Ground Ministry Turf 1,Yes
8-Feb-22,Oman ,UAE,NaN,NaN,Al Amerat Cricket Ground Ministry Turf 1,No
9-Feb-22,India,West Indies,India,44 runs,Ahmedabad,Yes
11-Feb-22,India,West Indies,India,96 runs,Ahmedabad,Yes
23-Feb-22,Bangladesh,Afganisthan,Bangladesh,4 wickets,Zahur Ahmed Choudhury Stadium,Yes
25-Feb-22,Bangladesh,Afganisthan,Bangladesh,88 runs,Zahur Ahmed Choudhury Stadium,Yes
28-Feb-22,Bangladesh,Afganisthan,Afganisthan,7 wickets,Zahur Ahmed Choudhury Stadium,Yes
5-Mar-22,UAE,Oman,Oman,12 runs,ICC GCA,Yes
6-Mar-22,Namibia,Oman,Namibia,110 runs,ICC GCA,Yes
8-Mar-22,UAE,Namibia,UAE,3 wickets,ICC GCA,Yes
9-Mar-22,UAE,Oman,Oman,8 runs,ICC GCA,Yes
11-Mar-22,Namibia,Oman,Oman,7 wickets,Sharjah,Yes
12-Mar-22,UAE,Namibia,UAE,43 runs,Sharjah,Yes
14-Mar-22,Namibia,Oman,Namibia,5 wickets,Dubai,Yes
15-Mar-22,UAE,PNG,UAE,7 wickets,Sharjah,Yes
16-Mar-22,Nepal,PNG,Nepal,2 wickets,Sharjah,Yes
18-Mar-22,South Africa,Bangladesh,Bangladesh,38 runs,SuperSport Park,Yes
18-Mar-22,UAE,Nepal,UAE,48 runs,Dubai,Yes
19-Mar-22,UAE,PNG,PNG,6 wickets,Dubai,Yes
20-Mar-22,South Africa,Bangladesh,South Africa,7 wickets,wanderer's Stadium,Yes
21-Mar-22,UAE,Nepal,UAE,99 runs,Dubai,Yes
22-Mar-22,Nepal,PNG,Nepal,7 wickets,Dubai,Yes
23-Mar-22,South Africa,Bangladesh,Bangladesh,9 wickets,SuperSport Park,Yes
25-Mar-22,Nepal,PNG,PNG,6 runs,Tribhuvan,Yes
26-Mar-22,Nepal,PNG,PNG,3 wickets,Tribhuvan,Yes
29-Mar-22,Pakistan,Australia,Australia,7 wickets,Lahore,Yes
29-Mar-22,NewZeland,Netherlands,NewZeland,88 runs,Bay Oval,Yes
31-Mar-22,Pakistan,Australia,Pakistan,6 wickets,Lahore,Yes
2-Apr-22,Pakistan,Australia,Pakistan,9 wickets,Lahore,Yes
3-Apr-22,NewZeland,Netherlands,NewZeland,118 runs,Seddon Park,Yes
4-Apr-22,NewZeland,Netherlands,NewZeland,115 runs,Seddon Park,Yes
9-Apr-22,PNG,Scotland,Scotland,162 runs,Dubai,Yes
10-Apr-22,Oman ,Scotland,Scotland,4 runs,Dubai,Yes
12-Apr-22,Oman ,PNG,Oman,7 wickets,Dubai,Yes
13-Apr-22,PNG,Scotland,Scotland,123 runs,Dubai,Yes
15-Apr-22,Oman ,Scotland,Scotland,2 wickets,Dubai,Yes
16-Apr-22,Oman ,PNG,Oman,85 runs,Dubai,Yes
28-May-22,USA,Scotland,USA,104 runs,Choice Moosa Stadium,Yes
29-May-22,USA,Scotland,Scotland,111 runs,Choice Moosa Stadium,Yes
31-May-22,Netherlands,West Indies,West Indies,7 wickets,VRA Ground,Yes
31-May-22,Scotland,UAE,Scotland,4 wickets,Choice Moosa Stadium,Yes
1-Jun-22,USA,UAE,USA,4 wickets,Choice Moosa Stadium,Yes
2-Jun-22,Netherlands,West Indies,West Indies,5 wickets,VRA Ground,Yes
3-Jun-22,Scotland,UAE,UAE,5 wickets,Choice Moosa Stadium,Yes
4-Jun-22,Zimbabwe,Afganisthan,Afganisthan,60 runs,Harare,Yes
4-Jun-22,Netherlands,West Indies,West Indies,20 runs,VRA Ground,Yes
4-Jun-22,USA,UAE,UAE,8 wickets,Choice Moosa Stadium,Yes
6-Jun-22,Zimbabwe,Afganisthan,Afganisthan,8 wickets,Harare,Yes
8-Jun-22,Pakistan,West Indies,Pakistan,5 wickets,Multan,Yes
8-Jun-22,USA,Oman,USA,114 runs,Choice Moosa Stadium,Yes
9-Jun-22,Zimbabwe,Afganisthan,Afganisthan,4 wickets,Harare,Yes
9-Jun-22,Nepal,Oman,Oman,13 runs,Choice Moosa Stadium,Yes
10-Jun-22,Pakistan,West Indies,Pakistan,120 runs,Multan,Yes
11-Jun-22,USA,Nepal,NaN,NaN,Choice Moosa Stadium,No
12-Jun-22,Pakistan,West Indies,Pakistan,53 runs,Multan,Yes
12-Jun-22,USA,Oman,Oman,13 runs,Choice Moosa Stadium,Yes
14-Jun-22,Sri Lanka,Australia,Australia,2 wickets,Pallekele,Yes
14-Jun-22,Oman ,Nepal,Nepal,7 wickets,Choice Moosa Stadium,Yes
15-Jun-22,USA,Nepal,USA,39 runs,Choice Moosa Stadium,Yes
16-Jun-22,Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele,Yes
17-Jun-22,Netherlands,England,England,232 runs,VRA Ground,Yes
19-Jun-22,Netherlands,England,England,6 wickets,VRA Ground,Yes
19-Jun-22,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo,Yes
21-Jun-22,Sri Lanka,Australia,Sri Lanka,4 runs,Colombo,Yes
22-Jun-22,Netherlands,England,England,8 wickets,VRA Ground,Yes
24-Jun-22,Sri Lanka,Australia,Australia,4 wickets,Colombo,Yes
10-Jul-22,Ireland,NewZeland,NewZeland,1 wicket,Village,Yes
10-Jul-22,West Indies,Bangladesh,Bangladesh,6 wickets,Providence stadium,Yes
10-Jul-22,Scotland,Namibia,Scotland,77 runs,Titwood,Yes
11-Jul-22,Namibia,Nepal,Namibia,40 runs,Cambusdoon New Ground,Yes
12-Jul-22,England,India,India,10 wickets,Kensington Oval,Yes
12-Jul-22,Ireland,NewZeland,NewZeland,3 wickets,Village,Yes
13-Jul-22,West Indies,Bangladesh,Bangladesh,9 wickets,Providence stadium,Yes
13-Jul-22,Scotland,Nepal,Nepal,5 wickets,Titwood,Yes
14-Jul-22,England,India,England,100 runs,Lords,Yes
14-Jul-22,Scotland,Namibia,Scotland,3 wickets,Titwood,Yes
15-Jul-22,Ireland,NewZeland,NewZeland,1 run,Village,Yes
16-Jul-22,West Indies,Bangladesh,Bangladesh,4 wickets,Providence stadium,Yes
16-Jul-22,Namibia,Nepal,Namibia,63 runs,Cambusdoon New Ground,Yes
17-Jul-22,England,India,India,5 wickets,Old Trafford,Yes
17-Jul-22,Scotland,Nepal,Scotland,8 wickets,Titwood,Yes
19-Jul-22,England,South Africa,South Africa,62 runs,Riverside Ground,Yes
22-Jul-22,West Indies,India,India,3 runs,Queen's Park Oval,Yes
22-Jul-22,England,South Africa,England,118 runs,Old Trafford,Yes
24-Jul-22,West Indies,India,India,2 wickets,Queen's Park Oval,Yes
24-Jul-22,England,South Africa,NaN,NaN,Headingly,No
27-Jul-22,West Indies,India,India,119 runs,Queen's Park Oval,Yes
31-Jul-22,Scotland,NewZeland,NewZeland,7 wickets,Grange Cricket Club,Yes
5-Aug-22,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,Yes
7-Aug-22,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,Yes
10-Aug-22,Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare,Yes
10-Aug-22,Scotland,UAE,Scotland,64 runs,Mannofield Park,Yes
11-Aug-22,UAE,USA,USA,1 wicket,Mannofield Park,Yes
13-Aug-22,Scotland,USA,Scotland,5 wickets,Mannofield Park,Yes
14-Aug-22,Scotland,UAE,Scotland,86 runs,Mannofield Park,Yes
16-Aug-22,Netherlands,Pakistan,Pakistan,16 runs,Hazelaarweg,Yes
16-Aug-22,UAE,USA,NaN,NaN,Mannofield Park,No
17-Aug-22,West Indies,NewZeland,West Indies,5 wickets,Kensington Oval,Yes
17-Aug-22,Scotland,USA,USA,2 wickets,Mannofield Park,Yes
18-Aug-22,Zimbabwe,India,India,10 wickets,Harare,Yes
18-Aug-22,Netherlands,Pakistan,Pakistan,7 wickets,Hazelaarweg,Yes
19-Aug-22,West Indies,NewZeland,NewZeland,50 runs,Kensington Oval,Yes
20-Aug-22,Zimbabwe,India,India,5 wickets,Harare,Yes
21-Aug-22,Netherlands,Pakistan,Pakistan,9 runs,Hazelaarweg,Yes
21-Aug-22,West Indies,NewZeland,NewZeland,5 wickets,Kensington Oval,Yes
22-Aug-22,Zimbabwe,India,India,13 runs,Harare,Yes
28-Aug-22,Australia,Zimbabwe,Australia,5 wickets,Riverway Stadium,Yes
31-Aug-22,Australia,Zimbabwe,Australia,8 wickets,Riverway Stadium,Yes
3-Sep-22,Australia,Zimbabwe,Zimbabwe,3 wickets,Riverway Stadium,Yes
6-Sep-22,Australia,NewZeland,Australia,2 wickets,Cazaly's Stadium,Yes
8-Sep-22,Australia,NewZeland,Australia,113 runs,Cazaly's Stadium,Yes
11-Sep-22,Australia,NewZeland,Australia,25 runs,Cazaly's Stadium,Yes
11-Sep-22,PNG,USA,NaN,NaN,Amini Park,No
13-Sep-22,PNG,USA,PNG,26 runs,Amini Park,Yes
15-Sep-22,Namibia,USA,Namibia,79 runs,Amini Park,Yes
17-Sep-22,Namibia,USA,Namibia,68 runs,Amini Park,Yes
20-Sep-22,PNG,Namibia,Namibia,167 runs,Amini Park,Yes
21-Sep-22,PNG,Namibia,Namibia,61 runs,Amini Park,Yes
6-Oct-22,India,South Africa,South Africa,9 runs,Lucknow,Yes
9-Oct-22,India,South Africa,India,7 wickets,Ranchi,Yes
11-Oct-22,India,South Africa,India,7 wickets,Delhi,Yes
14-Nov-22,Nepal,UAE,UAE,84 runs,Tribhuvan,Yes
16-Nov-22,Nepal,UAE,Nepal,3 wickets,Tribhuvan,Yes
17-Nov-22,Australia,England,Australia,6 wickets,Adelaide,Yes
18-Nov-22,Nepal,UAE,Nepal,6 wickets,Tribhuvan,Yes
19-Nov-22,Australia,England,Australia,72 runs,Sydney,Yes
19-Nov-22,Namibia,PNG,Namibia,8 wickets,wanderer's Stadium,Yes
20-Nov-22,Namibia,USA,USA,71 runs,wanderer's Stadium,Yes
22-Nov-22,Australia,England,Australia,221 runs,Melbourne,Yes
22-Nov-22,PNG,USA,USA,6 wickets,wanderer's Stadium,Yes
23-Nov-22,Namibia,PNG,Namibia,3 wickets,wanderer's Stadium,Yes
25-Nov-22,NewZeland,India,NewZeland,7 wickets,Eden Park,Yes
25-Nov-22,Sri Lanka,Afganisthan,Afganisthan,60 runs,Pallekele,Yes
25-Nov-22,PNG,USA,USA,35 runs,wanderer's Stadium,Yes
26-Nov-22,Namibia,USA,Namibia,6 wickets,wanderer's Stadium,Yes
27-Nov-22,NewZeland,India,NaN,NaN,Seddon Park,No
27-Nov-22,Sri Lanka,Afganisthan,NaN,NaN,Pallekele,No
30-Nov-22,NewZeland,India,NaN,NaN,Hagley Oval,No
30-Nov-22,Sri Lanka,Afganisthan,Sri Lanka,4 wickets,Pallekele,Yes
1-Dec-22,Namibia,Scotland,Scotland,4 wickets,United Cricket Club,Yes
2-Dec-22,Namibia,Nepal,NaN,NaN,United Cricket Club,No
4-Dec-22,Bangladesh,India,Bangladesh,1 wicket,Mirpur,Yes
4-Dec-22,Nepal,Scotland,Scotland,3 wickets,United Cricket Club,Yes
5-Dec-22,Namibia,Scotland,Namibia,3 wickets,United Cricket Club,Yes
7-Dec-22,Bangladesh,India,Bangladesh,5 runs,Mirpur,Yes
7-Dec-22,Namibia,Nepal,Namibia,86 runs,United Cricket Club,Yes
8-Dec-22,Nepal,Scotland,Scotland,8 wickets,United Cricket Club,Yes
10-Dec-22,Bangladesh,India,India,227 runs,Zahur Ahmed Choudhury Stadium,Yes
9-Jan-23,Pakistan,NewZeland,Pakistan,6 wickets,Karachi,Yes
10-Jan-23,India,Sri Lanka,India,67 runs,Barsapara Cricket Stadium,Yes
11-Jan-23,Pakistan,NewZeland,NewZeland,79 runs,Karachi,Yes
12-Jan-23,India,Sri Lanka,India,4 wickets,Eden Gardens,Yes
13-Jan-23,Pakistan,NewZeland,NewZeland,2 wickets,Karachi,Yes
15-Jan-23,India,Sri Lanka,India,317 runs,Greenfield Stadium,Yes
18-Jan-23,India,NewZeland,India,12 runs,Hyderabad,Yes
18-Jan-23,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,Yes
21-Jan-23,India,NewZeland,India,8 wickets,Shaheed Veer Narayan Sing International Stadium,Yes
21-Jan-23,Zimbabwe,Ireland,Ireland,46 runs,Harare,Yes
23-Jan-23,Zimbabwe,Ireland,NaN,NaN,Harare,No
24-Jan-23,India,NewZeland,India,90 runs,Bhopal,Yes
27-Jan-23,South Africa,England,South Africa,27 runs,Mangaung Oval,Yes
29-Jan-23,South Africa,England,South Africa,5 wickets,Mangaung Oval,Yes
1-Feb-23,South Africa,England,England,59 runs,Diamond Oval,Yes
14-Feb-23,Nepal,Namibia,Nepal,2 wickets,Tribhuvan,Yes
15-Feb-23,Namibia,Scotland,Scotland,10 wickets,Tribhuvan,Yes
17-Feb-23,Nepal,Scotland,Nepal,3 wickets,Tribhuvan,Yes
18-Feb-23,Nepal,Namibia,Nepal,3 wickets,Tribhuvan,Yes
20-Feb-23,Namibia,Scotland,Scotland,43 runs,Tribhuvan,Yes
21-Feb-23,Nepal,Scotland,Nepal,2 wickets,Tribhuvan,Yes
23-Feb-23,UAE,Namibia,UAE,1 wicket,Dubai,Yes
25-Feb-23,UAE,Namibia,Namibia,7 wickets,Dubai,Yes
27-Feb-23,Nepal,PNG,Nepal,4 wickets,Dubai,Yes
28-Feb-23,UAE,PNG,PNG,131 runs,Dubai,Yes
1-Mar-23,Bangladesh,England,England,3 wickets,Mirpur,Yes
2-Mar-23,UAE,Nepal,UAE,68 runs,Dubai,Yes
3-Mar-23,Bangladesh,England,England,132 runs,Mirpur,Yes
3-Mar-23,Nepal,PNG,Nepal,3 wickets,Dubai,Yes
5-Mar-23,UAE,PNG,PNG,5 wickets,Dubai,Yes
6-Mar-23,Bangladesh,England,Bangladesh,50 runs,Zahur Ahmed Choudhury Stadium,Yes
6-Mar-23,UAE,Nepal,Nepal,42 runs,Dubai,Yes
9-Mar-23,Nepal,PNG,Nepal,52 runs,Tribhuvan,Yes
10-Mar-23,PNG,UAE,PNG,56 runs,Tribhuvan,Yes
12-Mar-23,Nepal,UAE,Nepal,177 runs,Tribhuvan,Yes
13-Mar-23,Nepal,PNG,Nepal,9 wickets,Tribhuvan,Yes
15-Mar-23,PNG,UAE,UAE,6 wickets,Tribhuvan,Yes
16-Mar-23,South Africa,West Indies,NaN,NaN,Buffalo Park,No
16-Mar-23,Nepal,UAE,Nepal,9 runs,Tribhuvan,Yes
17-Mar-23,India,Australia,India,5 wickets,Mumbai,Yes
18-Mar-23,Bangladesh,Ireland,Bangladesh,183 runs,Sylhet,Yes
18-Mar-23,South Africa,West Indies,West Indies,48 runs,Buffalo Park,Yes
19-Mar-23,India,Australia,Australia,10 wickets,Reddy cricket stadium,Yes
20-Mar-23,Bangladesh,Ireland,NaN,NaN,Sylhet,No
21-Mar-23,zimbabwe,Netherlands,Netherlands,3 wickets,Harare,Yes
21-Mar-23,South Africa,West Indies,South Africa,4 wickets,Senwes Stadium,Yes
22-Mar-23,India,Australia,Australia,21 runs,Bengaluru,Yes
23-Mar-23,Zimbabwe,Netherlands,Zimbabwe,1 run,Harare,Yes
23-Mar-23,Bangladesh,Ireland,Bangladesh,10 wickets,Sylhet,Yes
25-Mar-23,NewZeland,Sri Lanka,NewZeland,198 runs,Eden Park,Yes
25-Mar-23,Zimbabwe,Netherlands,Zimbabwe,7 wickets,Harare,Yes
26-Mar-23,Namibia,USA,USA,80 runs,wanderer's Stadium,Yes
27-Mar-23,PNG,UAE,UAE,21 runs,wanderer's Stadium,Yes
27-Mar-23,Canada,Jersy,Canada,31 runs,United Cricket Club,Yes
28-Mar-23,NewZeland,Sri Lanka,NaN,NaN,Hagley Oval,No
29-Mar-23,Canada,USA,Canada,26 runs,wanderer's Stadium,Yes
29-Mar-23,Namibia,PNG,Namibia,48 runs,United Cricket Club,Yes
30-Mar-23,Namibia,Jersy,Namibia,8 wickets,wanderer's Stadium,Yes
30-Mar-23,UAE,USA,USA,5 wickets,United Cricket Club,Yes
31-Mar-23,South Africa,Netherlands,South Africa,8 wickets,Willowmoore park,Yes
31-Mar-23,NewZeland,Sri Lanka,NewZeland,6 wickets,Seddon Park,Yes
1-Apr-23,Canada,UAE,UAE,6 wickets,wanderer's Stadium,Yes
1-Apr-23,Jersy,PNG,Jersy,11 runs,United Cricket Club,Yes
2-Apr-23,South Africa,Netherlands,South Africa,146 runs,wanderer's Stadium,Yes
2-Apr-23,PNG,USA,USA,117 runs,wanderer's Stadium,Yes
2-Apr-23,Namibia,UAE,UAE,28 runs,United Cricket Club,Yes
4-Apr-23,Namibia,Canada,Namibia,111 runs,wanderer's Stadium,Yes
4-Apr-23,Jersy,USA,USA,25 runs,United Cricket Club,Yes
5-Apr-23,Jersy,UAE,UAE,66 runs,wanderer's Stadium,Yes
5-Apr-23,Canada,PNG,Canada,90 runs,United Cricket Club,Yes
21-Apr-23,Nepal,Oman,Nepal,84 runs,Tribhuvan,Yes
27-Apr-23,Pakistan,NewZeland,Pakistan,5 wickets,Rawalpindi,Yes
29-Apr-23,Oman ,UAE,UAE,2 runs,Mulpani Cricket Ground,Yes
29-Apr-23,Pakistan,NewZeland,oak,7 wickets,Rawalpindi,Yes
1-May-23,Nepal,UAE,Nepal,7 wickets,Tribhuvan,Yes
3-May-23,Pakistan,NewZeland,Pakistan,26 runs,Karachi,Yes
5-May-23,Pakistan,NewZeland,Pakistan,102 runs,Karachi,Yes
7-May-23,Pakistan,NewZeland,NewZeland,47 runs,Karachi,Yes
9-May-23,Ireland,Bangladesh,NaN,NaN,Chelmsford,No
12-May-23,Ireland,Bangladesh,Bangladesh,3 wickets,Chelmsford,Yes
14-May-23,Ireland,Bangladesh,Bangladesh,5 runs,Chelmsford,Yes
2-Jun-23,Sri Lanka,Afganisthan,Afganisthan,6 wickets,Mahinda Rajapaksha Interntional cricket stadium,Yes
4-Jun-23,UAE,West Indies,West Indies,7 wickets,Sharjah,Yes
4-Jun-23,Sri Lanka,Afganisthan,Sri Lanka,132 runs,Mahinda Rajapaksha Interntional cricket stadium,Yes
6-Jun-23,UAE,West Indies,West Indies,78 runs,Sharjah,Yes
7-Jun-23,Sri Lanka,Afganisthan,Sri Lanka,9 wickets,Mahinda Rajapaksha Interntional cricket stadium,Yes
9-Jun-23,UAE,West Indies,West Indies,4 wickets,Sharjah,Yes
18-Jun-23,Zimbabwe,Nepal,Zimbabwe,8 wickets,Harare,Yes
18-Jun-23,West Indies,USA,West Indies,39 runs,Takashinga Sports Club,Yes
19-Jun-23,Sri Lanka,UAE,Sri Lanka,175 runs,Queen's Park Oval,Yes
19-Jun-23,Ireland,Oman,Oman,5 wickets,Bulawayo,Yes
20-Jun-23,Zimbabwe,Netherlands,Zimbabwe,6 wickets,Harare,Yes
20-Jun-23,Nepal,USA,Nepal,6 wickets,Takashinga Sports Club,Yes
21-Jun-23,Ireland,Scotland,Scotland,1 wicket,Queen's Park Oval,Yes
21-Jun-23,Oman ,UAE,Oman,5 wickets,Bulawayo,Yes
22-Jun-23,Nepal,West Indies,West Indies,101 runs,Harare,Yes
22-Jun-23,Netherlands,USA,Netherlands,5 wickets,Takashinga Sports Club,Yes
23-Jun-23,Oman ,Sri Lanka,Sri Lanka,10 wickets,Queen's Park Oval,Yes
23-Jun-23,Scotland,UAE,Scotland,111 runs,Bulawayo,Yes
24-Jun-23,Zimbabwe,West Indies,Zimbabwe,35 runs,Harare,Yes
24-Jun-23,Nepal,Netherlands,Netherlands,7 wickets,Takashinga Sports Club,Yes
25-Jun-23,Ireland,Sri Lanka,Sri Lanka,133 runs,Queen's Park Oval,Yes
25-Jun-23,Oman ,Scotland,Scotland,76 runs,Bulawayo,Yes
26-Jun-23,Zimbabwe,USA,Zimbabwe,304 runs,Harare,Yes
26-Jun-23,Netherlands,West Indies,Netherlands,NaN,Takashinga Sports Club,No
27-Jun-23,Scotland,Sri Lanka,Sri Lanka,82 runs,Queen's Park Oval,Yes
27-Jun-23,Ireland,UAE,Ireland,138 runs,Bulawayo,Yes
29-Jun-23,Zimbabwe,Oman,Zimbabwe,14 runs,Queen's Park Oval,Yes
30-Jun-23,Netherlands,Sri Lanka,Sri Lanka,21 runs,Queen's Park Oval,Yes
30-Jun-23,Ireland,USA,Ireland,6 wickets,Takashinga Sports Club,Yes
1-Jul-23,Scotland,West Indies,Scotland,7 wickets,Harare,Yes
2-Jul-23,zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Queen's Park Oval,Yes
2-Jul-23,Nepal,UAE,Nepal,3 wickets,Takashinga Sports Club,Yes
3-Jul-23,Netherlands,Oman,Netherlands,74 runs,Harare,Yes
4-Jul-23,zimbabwe,Scotland,Scotland,31 runs,Queen's Park Oval,Yes
4-Jul-23,Ireland,Nepal,Ireland,2 wickets,Takashinga Sports Club,Yes
5-Jul-23,Bangladesh,Afganisthan,Afganisthan,17 runs,Zahur Ahmed Choudhury Stadium,Yes
5-Jul-23,Oman ,West Indies,West Indies,7 wickets,Harare,Yes
6-Jul-23,Netherlands,Scotland,Netherlands,4 wickets,Queen's Park Oval,Yes
6-Jul-23,UAE,USA,UAE,1 run,Takashinga Sports Club,Yes
7-Jul-23,Sri Lanka,West Indies,Sri Lanka,8 wickets,Harare,Yes
8-Jul-23,Bangladesh,Afganisthan,Afganisthan,142 runs,Zahur Ahmed Choudhury Stadium,Yes
9-Jul-23,Netherlands,Sri Lanka,Netherlands,128 runs,Harare,Yes
11-Jul-23,Bangladesh,Afganisthan,Bangladesh,7 wickets,Zahur Ahmed Choudhury Stadium,Yes
27-Jul-23,West Indies,India,India,5 wickets,Kensington Oval,Yes
29-Jul-23,West Indies,India,West Indies,6 wickets,Kensington Oval,Yes
1-Aug-23,West Indies,India,India,200 runs,Brian Lara Stadium,Yes
